iter	Passed	Remaining
0	178	17652
1	186	9155
2	213	6889
3	228	5488
4	240	4567
5	257	4029
6	274	3652
7	292	3364
8	308	3123
9	321	2895
10	331	2681
11	347	2549
12	356	2388
13	370	2276
14	382	2168
15	396	2081
16	411	2009
17	427	1948
18	442	1888
19	459	1836
20	475	1788
21	494	1752
22	510	1709
23	525	1663
24	539	1617
25	553	1573
26	564	1526
27	579	1489
28	593	1453
29	609	1421
30	619	1379
31	637	1353
32	656	1333
33	672	1305
34	688	1279
35	707	1258
36	721	1228
37	737	1203
38	752	1176
39	767	1151
40	783	1127
41	805	1112
42	821	1088
43	841	1071
44	854	1044
45	869	1020
46	881	993
47	895	969
48	908	945
49	925	925
50	939	902
51	1005	928
52	1030	913
53	1052	896
54	1075	879
55	1096	861
56	1130	852
57	1163	842
58	1190	827
59	1203	802
60	1216	778
61	1232	755
62	1246	732
63	1264	711
64	1281	690
65	1296	667
66	1309	645
67	1326	624
68	1340	602
69	1353	580
70	1365	557
71	1378	536
72	1392	515
73	1405	493
74	1417	472
75	1430	451
76	1442	430
77	1454	410
78	1465	389
79	1481	370
80	1496	351
81	1510	331
82	1523	311
83	1535	292
84	1546	272
85	1560	253
86	1574	235
87	1587	216
88	1600	197
89	1612	179
90	1624	160
91	1643	142
92	1655	124
93	1668	106
94	1679	88
95	1691	70
96	1704	52
97	1717	35
98	1729	17
99	1743	0
