label,message
ham,"Go until jurong point, crazy.. Available only in bugis n brash"
ham,"Ok lar... Joking wif u oni"
spam,"Free entry in 2 a wkly comp to win FA Cup fina..."
ham,"U dun say so early hor... U c already then say"
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg: Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it? XxX"
ham,"Even my brother is not like to speak with me. They treat me like aids patent."
ham,"As per your request 'm@a' is complete, its been processed 2v"
ham,"Congratulations ur awarded either 1000 Min or a prize!"
spam,"WILL BE LATE. Pick up at 7:30."
ham,"I have a date on Sunday with my friend"
spam,"WINNER!! As a valued network customer you have been selected to receive a $900 prize reward!"
